CONTENT,RATING,label
全职主妇侦探，不，是强盗。,5,1
哈哈哈哈哈哈哈！师父果然威武！,5,1
哈哈哈哈哈好带喜感的师傅~~,5,1
从小就这臭脾气,5,1
主妇很威武！,5,1
小姐，你的熊掉了.,5,1
小姐你的熊掉了……神啊……,5,1
几个sp中最好看的,5,1
"小姐,你的熊掉了",5,1
主妇桑。汝辈还是内么具有喜感TAT,5,1
为最后的小故事多给一颗星。,5,1
小姐！你的熊掉了！,5,1
= =fa打瓶子小人的时候 师父怎么没上。。。,5,1
师父的故事，另一个炼金术师的传奇。,5,1
小姐 你的熊~是你的熊~,5,1
师父本身就是一个牛逼的存在好么，各方面。。,5,1
第一篇还是大河剧画风，第二篇忽然就变成了少女漫。和师匠比起来，爱德真是弱啊！,5,1
亮点全在最后啊！,5,1
笑死了 把熊过肩摔的女人跟举起钢琴的女人有什么本质不同么,5,1
………………………………这……太能搞了=        =,5,1
笑死了XDDDD 这样一看师匠和ED好像啊w,5,1
初恋的故事很有爱啊啊啊啊啊啊,5,1
大一寒假的考试周   ,5,1
究竟有多喜欢这系列的古惑仔呢？,5,1
经典片，现在拍不了了。,5,1
那段时间补得电影，看看还是不错的,5,1
女主口音有点做作，文艺乔最后一笑萌化我了,5,1
男主真的是清纯文艺秀气到了极致啊！用徐海乔的脸带入吴邪，相当和谐有没有！我以前看不进去盗墓笔记的结果就因为这个看下去了,5,1
还记得是大学，全班儿就我一个人去听Jason外教每周四晚上的口语交流课~ 他给我们放了这片儿我觉得好看极了。。虽然没有拜读过原着，但这版所呈现的包法利夫人也不差毫厘了。,5,1
小姐……你的熊掉了…,5,1
【小姐，你的熊掉了。。的熊掉了。。熊掉了。。掉了。。了。。】师傅的恋爱如同暴风雨o(*≧▽≦)ツ┏━┓[拍桌狂笑!],5,1
师匠萌到爆啊~~~~,5,1
小姐你的熊掉了o(*≧▽≦)ツ┏━┓,5,1
这位小姐，你忘了你的熊   lol,5,1
哈哈哈哈小姐你的熊掉了,5,1
我对师傅的崇敬不是三言两语能说完的,5,1
超级喜欢露白，这样的男人是我的就好了,5,1
最喜欢这种特别生活化的温馨喜剧~~~~,5,1
小姐，你的熊~~,5,1
哈哈哈哈哈你的熊掉了哈哈哈哈哈哈哈哈哈,5,1
又厉害又搞笑又可爱又温柔，布里格斯的那个女人真是不简单，哈哈哈哈,5,1
这一集日式复古风格的细节好喜欢 初恋笑死我了,5,1
小姐，你的熊掉了，哈哈哈,5,1
哈哈哈，在剧情差不多忘记光的情况下，还是被师傅炸出来了。,5,1
原来主妇还有这么青葱的岁月呀~哈哈哈。小姐这是你掉的熊吗？啊哈哈哈,5,1
你忘了你的熊！,5,1
爱玛怎么会那么美……？不，不会。但可以肯定的是，在夏尔、里昂眼中，的确这样美。这个女人是个梦，人人都迫不及待的踏入这场梦……,5,1
诶。。老公如此好。。实在不应该啦= =~！,5,1
“于是，我似乎看到多年以后，你站在一扇蓝色的大门前，下午三点的阳光，你仍有几颗青春痘。你笑着，我跑向你问你好不好，你点点头。三年、五年以后，甚至更久更久以后，我们会变成什么样的大人呢？是体育老师，还是我妈。虽然我闭着眼睛，也看不见自己，但是我却可以看到你。” ,5,1
最后一段对白挽救了整部电影……至少我是这么觉得……,5,1
非常真实的电影 如同周遭的生活一般  91年,5,1
虽然我闭着眼睛也看不见自己，但是我却可以看见你。,5,1
徐海乔最苏，最帅，最甜，最善,5,1
テレビ静冈　在最近看了如此多大烂片之后 这部简直是让我感激涕零啊 最爱这样的日本家庭戏 最后那首演歌让它从4星升华为5^^,5,1
我要信仰共产主义了。,5,1
